"Statistic Label","Monthly","Residency","UNIT","VALUE"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Euro","80.8"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 April","Other Europe (3)","Euro","73.7"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 April","USA & Canada","Euro","92.4"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 April","Other Residencies","Euro","89.7"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 April","All Residencies","Euro","81.4"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Euro","97.8"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 May","Other Europe (3)","Euro","65.9"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 May","USA & Canada","Euro","111.1"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 May","Other Residencies","Euro","90.6"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 May","All Residencies","Euro","82.3"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Euro","96.7"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 June","Other Europe (3)","Euro","87.1"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 June","USA & Canada","Euro","122.4"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 June","Other Residencies","Euro","116.5"
"Mean Nightly Accommodation Costs of Overnight Foreign Visitors","2023 June","All Residencies","Euro","101.1"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Euro","69.7"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Euro","65.2"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Euro","83.1"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Euro","79.6"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Euro","71.1"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Euro","77.9"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Euro","64.8"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Euro","83.1"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Euro","67.5"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Euro","73.5"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Euro","79"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Euro","62.4"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Euro","89.2"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Euro","71.4"
"Mean Day-to-Day Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Euro","76.6"
